"stage_id","stage_title","Pool","context_text","require_color","true_color","item","allow_colors","deny_colors","deny_color_feedback_key","deny_items","must_have","required_slots","target_outfit","target_outfit_ids","limited_color","limited_color_max","limited_color_feedback_key"
"1","著","1","，走起路來特別輕鬆自在。","是","柑仔色, 黃色, 白色, 烏色, 紅色花圖案, 吊菜色","鞋","","","","","日常","clothes,pants,shoes","clothes:短衫@黃色;pants:短褲@黃色;shoes:鞋@白色","clothes:short_shirt@yellow;pants:shorts@yellow;shoes:shoes@white","","",""
"2","著","1","，體驗做擂茶和藍染，像是穿越到早時客庄。","X","X","藍衫","","","","","藍衫","clothes,pants,shoes","clothes:藍衫@無;pants:長褲@烏色;shoes:鞋@烏色","clothes:hakka_shirt@none;pants:long_pants@black;shoes:shoes@black","","",""
"3","戴","1","，最適合用來擋太陽。","是","柑仔色, 黃色, 白色, 烏色, 紅色花圖案, 吊菜色","帽仔","","","","","日常","clothes,pants,shoes,head","clothes:短衫@黃色;pants:短褲@黃色;shoes:鞋@白色;head:帽仔@黃色","clothes:short_shirt@yellow;pants:shorts@yellow;shoes:shoes@white;head:hat@yellow","","",""
"4","著","1","，在戶外看螢火蟲也不怕被蚊子叮。","是","X, 烏色, 吊菜色","長褲","","","","","賞螢,  暗, 熱","clothes,pants,shoes","clothes:短衫@吊菜色;pants:長褲@吊菜色;shoes:鞋@烏色","clothes:short_shirt@dark_green;pants:long_pants@dark_green;shoes:shoes@black","","",""
"5","著","1","，下雨天腳不會濕，方便又舒適。","是","柑仔色, 黃色, 白色, 烏色, 紅色花圖案, 吊菜色","水靴筒","","","","","rain","clothes,pants,shoes","clothes:短衫@黃色;pants:長褲@烏色;shoes:水靴筒@黃色","clothes:short_shirt@yellow;pants:long_pants@black;shoes:rain_boots@yellow","","",""
"6","戴","1","，在泳池裡裡看著真顯眼，安全又好看。","是","柑仔色, 黃色, 紅色花圖案, 吊菜色","泅水帽","柑仔色, 黃色, 紅色花圖案, 吊菜色","","","","亮, water, 熱","clothes,pants,head","clothes:泅水衫@黃色;pants:短褲@黃色;head:泅水帽@黃色","clothes:swimsuit@yellow;pants:shorts@yellow;head:swim_cap@yellow","","",""
"7","著","1","，這樣溜直排輪就不怕跌倒。","是","柑仔色, 黃色, 白色, 烏色, 紅色花圖案, 吊菜色","膝頭落仔","","","","","運動","clothes,pants,shoes,knee","clothes:短衫@黃色;pants:短褲@黃色;shoes:鞋@白色;knee:膝頭落仔@黃色","clothes:short_shirt@yellow;pants:shorts@yellow;shoes:shoes@white;knee:knee_protector@yellow","","",""
"8","著","2","，穿去參加就職面試，給人留下專業得體的第一印象。","是","白色, 烏色","短衫, 裙, 長褲, 鞋","","","","","正式","clothes,pants,shoes","clothes:短衫@白色;pants:長褲@烏色;shoes:鞋@烏色","clothes:short_shirt@white;pants:long_pants@black;shoes:shoes@black","","",""
"9","著, 戴","2","，去參加社區大掃除，不怕髒污又舒適。","是","烏色, 吊菜色, 柑仔色","短衫, 短褲, 長褲, 帽仔, 鞋, 水靴筒","烏色, 吊菜色, 柑仔色","白色, 黃色, 紅色花圖案","cleaning_bright_color_warning","裙, 頸圍仔, 羽絨衫, 膨線衫, 泅水帽, 泅水衫","打掃","clothes,pants,shoes,head","clothes:短衫@烏色;pants:短褲@烏色;shoes:鞋@烏色;head:帽仔@烏色","clothes:short_shirt@black;pants:shorts@black;shoes:shoes@black;head:hat@black","","",""
"10","著, 戴","2","，在街上隨心搭配任何顏色，展現出獨特且自信的個人風格。","是","柑仔色, 黃色, 白色, 烏色, 紅色花圖案, 吊菜色","裙, 短衫, 短褲, 長褲, 羽絨衫, 膨線衫, 頸圍仔, 帽仔, 鞋","","","","","日常","clothes,pants,shoes","clothes:短衫@吊菜色;pants:裙@吊菜色;shoes:鞋@吊菜色","clothes:short_shirt@dark_green;pants:skirt@dark_green;shoes:shoes@dark_green","","",""
"11","著, 戴","2","，這是今天最合適的裝扮。","是","柑仔色, 黃色, 白色, 紅色花圖案, 吊菜色","短衫, 短褲, 長褲, 裙, 帽仔, 鞋","","","","","日常, 熱","clothes,pants,shoes","clothes:短衫@吊菜色;pants:短褲@吊菜色;shoes:鞋@白色","clothes:short_shirt@dark_green;pants:shorts@dark_green;shoes:shoes@white","","",""
"12","著, 戴","2","，像雪的顏色一樣，穿起來又暖和。","是","白色","羽絨衫, 膨線衫, 頸圍仔","","","","","冷","clothes,pants,shoes,accessories","clothes:羽絨衫@白色;pants:長褲@白色;shoes:鞋@烏色;accessories:頸圍仔@白色","clothes:puffer_jacket@white;pants:long_pants@white;shoes:shoes@black;accessories:scarf@white","","",""
"13","著","2","，打籃球時讓手腳好活動，展現滿滿活力。","是","柑仔色, 黃色, 白色, 烏色, 紅色花圖案, 吊菜色","膝頭落仔, 短衫, 短褲, 鞋","","","","","運動, 熱","clothes,pants,shoes,knee","clothes:短衫@黃色;pants:短褲@黃色;shoes:鞋@白色;knee:膝頭落仔@黃色","clothes:short_shirt@yellow;pants:shorts@yellow;shoes:shoes@white;knee:knee_protector@yellow","","",""
"14","著, 戴","2","，色彩活潑又顯眼，夜晚出門真安全。","是","柑仔色, 黃色, 白色, 紅色花圖案","裙, 短衫, 短褲, 長褲, 羽絨衫, 膨線衫, 頸圍仔, 帽仔, 鞋","","","","","亮, 活潑","clothes,pants,shoes","clothes:短衫@黃色;pants:裙@柑仔色;shoes:鞋@白色","clothes:short_shirt@yellow;pants:skirt@orange;shoes:shoes@white","","",""
"15","著, 戴","2","，新年去親戚家拜年，長輩看著真高興。","是","紅色花圖案, 柑仔色, 黃色, 吊菜色","長褲, 裙, 羽絨衫, 膨線衫, 頸圍仔, 帽仔, 鞋","","","","水靴筒, 泅水衫, 泅水帽, 膝頭落仔","客庄, 冷","clothes,pants,shoes,accessories","clothes:羽絨衫@紅色花圖案;pants:長褲@紅色花圖案;shoes:鞋@紅色花圖案;accessories:頸圍仔@紅色花圖案","clothes:puffer_jacket@red_flower_pattern;pants:long_pants@red_flower_pattern;shoes:shoes@red_flower_pattern;accessories:scarf@red_flower_pattern","烏色, 白色","1","festive_too_many_dark_colors"
"16","著, 戴","2","，看起來真有精神。","是","柑仔色, 黃色, 白色, 紅色花圖案, 吊菜色","帽仔, 短衫, 短褲, 長褲, 裙, 羽絨衫, 膨線衫, 頸圍仔, 鞋","","","","","亮","clothes,pants,shoes,head","clothes:短衫@黃色;pants:短褲@黃色;shoes:鞋@白色;head:帽仔@柑仔色","clothes:short_shirt@yellow;pants:shorts@yellow;shoes:shoes@white;head:hat@orange","","",""
"17","著","2","，最適合穿去參加室內婚宴，祝福新人。","是","白色, 黃色, 柑仔色, 紅色花圖案, 吊菜色","短衫, 長褲, 鞋, 裙","白色, 黃色, 柑仔色, 紅色花圖案, 吊菜色","烏色","","水靴筒, 帽仔, 泅水帽, 泅水衫, 膝頭落仔","喜慶","clothes,pants,shoes","clothes:短衫@白色;pants:裙@紅色花圖案;shoes:鞋@白色","clothes:short_shirt@white;pants:skirt@red_flower_pattern;shoes:shoes@white","","",""
"18","著, 戴","2","，穿去觀賞桐花最合適！充滿在地白色桐花意象，好看又特別。","是","白色","長褲, 裙, 帽仔, 鞋, 短衫, 短褲","","","","","桐花, 熱","clothes,pants,shoes,head","clothes:短衫@白色;pants:裙@白色;shoes:鞋@白色;head:帽仔@白色","clothes:short_shirt@white;pants:skirt@white;shoes:shoes@white;head:hat@white","","",""
"19","著, 戴","2","，富有杭菊色彩意象，清爽又亮眼。","是","黃色, 白色","裙, 長褲, 羽絨衫, 膨線衫, 鞋, 頸圍仔, 短衫, 短褲, 裙, 帽仔","","","","","杭菊, 冷","clothes,pants,shoes,accessories","clothes:膨線衫@白色;pants:長褲@黃色;shoes:鞋@白色;accessories:頸圍仔@黃色","clothes:sweater@white;pants:long_pants@yellow;shoes:shoes@white;accessories:scarf@yellow","","",""
"20","著, 戴","2","，放寒假和家人出門，在冷呼呼的天氣裡展現你的自信搭配。","是","X, 柑仔色, 黃色, 白色, 烏色, 紅色花圖案, 吊菜色","羽絨衫, 膨線衫, 頸圍仔, 長褲","","","","","冷, 日常","clothes,pants,shoes,accessories","clothes:羽絨衫@吊菜色;pants:長褲@吊菜色;shoes:鞋@烏色;accessories:頸圍仔@吊菜色","clothes:puffer_jacket@dark_green;pants:long_pants@dark_green;shoes:shoes@black;accessories:scarf@dark_green","","",""
"21","著","1","，冷風吹來時穿起來暖呼呼，出門也不怕著涼。","是","白色, 烏色, 柑仔色, 吊菜色, 紅色花圖案","羽絨衫","","","","","冷","clothes,pants,shoes","clothes:羽絨衫@白色;pants:長褲@白色;shoes:鞋@烏色","clothes:puffer_jacket@white;pants:long_pants@white;shoes:shoes@black","","",""
"22","戴, 著","1","，天氣變冷時圍在脖子上，保暖又舒服。","是","X, 柑仔色, 黃色, 白色, 烏色, 紅色花圖案, 吊菜色","頸圍仔","","","","","冷","clothes,pants,shoes,accessories","clothes:羽絨衫@白色;pants:長褲@白色;shoes:鞋@烏色;accessories:頸圍仔@無","clothes:puffer_jacket@white;pants:long_pants@white;shoes:shoes@black;accessories:scarf@none","","",""
"23","著","1","，踩過積水時，雙腳也不容易濕。","是","黃色, 烏色","水靴筒","","","","","冷, rain","clothes,pants,shoes,accessories","clothes:羽絨衫@白色;pants:長褲@白色;shoes:水靴筒@烏色;accessories:頸圍仔@白色","clothes:puffer_jacket@white;pants:long_pants@white;shoes:rain_boots@black;accessories:scarf@white","","",""
"24","著","1","，前往展覽館看畫展，培養藝術氣息。","是","吊菜色","短衫","","","","","日常, 熱","clothes,pants,shoes","clothes:短衫@吊菜色;pants:短褲@白色;shoes:鞋@白色","clothes:short_shirt@dark_green;pants:shorts@white;shoes:shoes@white","","",""
"26","著, 戴","2","，在泳池裡看起來亮眼又安全，玩水時更容易被注意到。","是","柑仔色, 黃色, 紅色花圖案, 吊菜色","泅水帽","柑仔色, 黃色, 紅色花圖案, 吊菜色","","","","亮, water, 熱","clothes,pants,head","clothes:泅水衫@紅色花圖案;pants:短褲@黃色;head:泅水帽@紅色花圖案","clothes:swimsuit@red_flower_pattern;pants:shorts@yellow;head:swim_cap@red_flower_pattern","","",""
"25","戴","1","，太陽有點大，戴在頭上比較不刺眼。","是","柑仔色, 黃色, 白色, 烏色, 紅色花圖案, 吊菜色","帽仔","","","","","冷, 日常","clothes,pants,shoes,head","clothes:羽絨衫@白色;pants:長褲@烏色;shoes:鞋@烏色;head:帽仔@黃色","clothes:puffer_jacket@white;pants:long_pants@black;shoes:shoes@black;head:hat@yellow","","",""
"27","著","1","，在陽台種植盆栽，可能會碰到泥土，穿深一點的顏色比較不怕髒。","是","烏色, 吊菜色","長褲","烏色, 吊菜色","白色, 黃色, 紅色花圖案","cleaning_bright_color_warning","裙, 泅水帽, 泅水衫","冷, 打掃","clothes,pants,shoes","clothes:膨線衫@烏色;pants:長褲@烏色;shoes:鞋@烏色","clothes:sweater@black;pants:long_pants@black;shoes:shoes@black","","",""
"28","戴, 著","1","，陣陣冷風吹來，既好看又能阻擋寒風，格外暖和！","是","柑仔色, 黃色, 白色, 烏色, 紅色花圖案, 吊菜色","頸圍仔","","","","泅水帽, 泅水衫, 膝頭落仔","冷","clothes,pants,shoes,accessories","clothes:羽絨衫@白色;pants:長褲@烏色;shoes:鞋@烏色;accessories:頸圍仔@吊菜色","clothes:puffer_jacket@white;pants:long_pants@black;shoes:shoes@black;accessories:scarf@dark_green","","",""
"29","著, 戴","2","，展現運動街頭風格，營造出冷酷帥氣的氣場。","是","烏色, 吊菜色","長褲, 帽仔","烏色, 吊菜色","","","水靴筒, 泅水帽, 泅水衫","冷, 日常, 個人風格","clothes,pants,shoes,head","clothes:膨線衫@吊菜色;pants:長褲@吊菜色;shoes:鞋@烏色;head:帽仔@烏色","clothes:sweater@dark_green;pants:long_pants@dark_green;shoes:shoes@black;head:hat@black","","",""
"30","著","1","，出國去日本看雪景，走路時間比較長，鞋子穿得舒服很重要。","是","柑仔色, 黃色, 白色, 烏色, 紅色花圖案, 吊菜色","鞋","","","","水靴筒, 泅水帽, 泅水衫, 膝頭落仔","冷, 日常","clothes,pants,shoes","clothes:羽絨衫@白色;pants:長褲@烏色;shoes:鞋@吊菜色","clothes:puffer_jacket@white;pants:long_pants@black;shoes:shoes@dark_green","","",""
"31","著, 戴","2","，和家人出門，穿得暖和又有自己的風格！不僅能擋住陣陣寒風，還能為造型加分。","是","柑仔色, 黃色, 白色, 烏色, 紅色花圖案, 吊菜色","長褲, 帽仔","","","","水靴筒, 泅水帽, 泅水衫, 膝頭落仔","冷, 日常, 個人風格","clothes,pants,shoes,head","clothes:羽絨衫@柑仔色;pants:長褲@吊菜色;shoes:鞋@烏色;head:帽仔@柑仔色","clothes:puffer_jacket@orange;pants:long_pants@dark_green;shoes:shoes@black;head:hat@orange","","",""
"32","著","2","，鞋底的止滑設計與良好的支撐感，輕鬆享受這趟健行之旅。","是","柑仔色, 黃色, 白色, 烏色, 紅色花圖案, 吊菜色","鞋","","","","水靴筒, 泅水帽, 泅水衫","冷, 運動","clothes,pants,shoes","clothes:膨線衫@白色;pants:長褲@烏色;shoes:鞋@柑仔色","clothes:sweater@white;pants:long_pants@black;shoes:shoes@orange","","",""
"33","著, 戴","2","，出門去菜市場買菜，順便觀賞攤位上琳琅滿目的新鮮食材，熱鬧又充滿生活味！","是","柑仔色, 黃色, 白色, 烏色, 紅色花圖案, 吊菜色","羽絨衫, 膨線衫, 頸圍仔, 長褲, 帽仔","","","","泅水帽, 泅水衫, 膝頭落仔","冷, 日常","clothes,pants,shoes,accessories","clothes:膨線衫@紅色花圖案;pants:長褲@烏色;shoes:鞋@烏色;accessories:頸圍仔@白色","clothes:sweater@red_flower_pattern;pants:long_pants@black;shoes:shoes@black;accessories:scarf@white","","",""
"34","著","1","，天氣變冷，穿在身上要保暖又舒服。","是","柑仔色, 黃色, 白色, 烏色, 紅色花圖案, 吊菜色","羽絨衫, 膨線衫","","","","泅水帽, 泅水衫, 膝頭落仔","冷","clothes,pants,shoes","clothes:羽絨衫@吊菜色;pants:長褲@烏色;shoes:鞋@烏色","clothes:puffer_jacket@dark_green;pants:long_pants@black;shoes:shoes@black","","",""
"35","戴, 著","1","，保暖做得好就不怕冷！阻擋領口進風，出門舒適又自在。","是","柑仔色, 黃色, 白色, 烏色, 紅色花圖案, 吊菜色","頸圍仔","","","","泅水帽, 泅水衫, 膝頭落仔","冷","clothes,pants,shoes,accessories","clothes:羽絨衫@白色;pants:長褲@烏色;shoes:鞋@烏色;accessories:頸圍仔@吊菜色","clothes:puffer_jacket@white;pants:long_pants@black;shoes:shoes@black;accessories:scarf@dark_green","","",""
"36","著, 戴","1","，坐在窗邊看書時，冷空氣從窗縫吹進來，還好穿得暖呼呼！","是","白色, 烏色, 吊菜色, 柑仔色","羽絨衫, 膨線衫, 頸圍仔","白色, 烏色, 吊菜色, 柑仔色","","","泅水帽, 泅水衫, 膝頭落仔, 水靴筒","冷, 日常","clothes,pants,shoes,accessories","clothes:膨線衫@吊菜色;pants:長褲@烏色;shoes:鞋@烏色;accessories:頸圍仔@吊菜色","clothes:sweater@dark_green;pants:long_pants@black;shoes:shoes@black;accessories:scarf@dark_green","","",""
"37","著, 戴","2","，到老街逛街，熱絡的叫賣聲此起彼落，穿著熱鬧又應景！","是","紅色花圖案, 柑仔色, 黃色, 吊菜色","帽仔, 頸圍仔, 長褲","紅色花圖案, 柑仔色, 黃色, 吊菜色","","","泅水帽, 泅水衫, 膝頭落仔, 水靴筒","日常, 熱鬧","clothes,pants,shoes,head","clothes:短衫@紅色花圖案;pants:長褲@吊菜色;shoes:鞋@白色;head:帽仔@柑仔色","clothes:short_shirt@red_flower_pattern;pants:long_pants@dark_green;shoes:shoes@white;head:hat@orange","","",""
"38","著","2","，和家人一起拍家庭照，穿得優雅又得體，留下難忘的回憶。","是","白色, 吊菜色, 柑仔色, 紅色花圖案","裙, 長褲, 膨線衫, 羽絨衫","白色, 吊菜色, 柑仔色, 紅色花圖案","","","泅水帽, 泅水衫, 膝頭落仔, 水靴筒","正式, 冷, 日常","clothes,pants,shoes","clothes:膨線衫@白色;pants:裙@吊菜色;shoes:鞋@白色","clothes:sweater@white;pants:skirt@dark_green;shoes:shoes@white","","",""
