stage_id,stage_title,Pool,context_text,require_color,true_color,item,錯誤提示 1：動詞,錯誤提示 2：衣物,錯誤提示 3：顏色,must_have,required_slots
1,著,1,，走起路來特別輕鬆自在。,否,"柑仔色, 黃色, 白色, 烏色, 紅色花圖案, 吊菜色",鞋,客語中，穿在身上的衣服、褲裙或鞋襪，要用「著」喔！快去檢查一下你的動詞吧！,想要走起路來輕鬆自在、腳步輕盈，最關鍵的是鞋喔！,,日常,
2,著,1,，體驗做擂茶和藍染，像是穿越到早時客庄。,X,X,藍衫,客語中，穿在身上的衣服、褲裙或鞋襪，要用「著」喔！快去檢查一下你的動詞吧！,再想想看，最能代表客家傳統文化的衣物是哪一件呢？,這件客家傳統服裝的名字裡，已經有顏色的意思囉！不需再重複搭配顏色，直接穿著吧！,藍衫,
3,戴,1,，最適合用來擋太陽。,否,"柑仔色, 黃色, 白色, 烏色, 紅色花圖案, 吊菜色",帽仔,客語中，戴在頭上或頸部的配件（如帽仔,頸圍仔），要用「戴」喔！快去檢查一下你的動詞吧！,陽光太刺眼了！快找找衣櫃裡可以戴在頭頂、幫臉部遮擋陽光的防曬配件！,,日常,
4,著,1,，看螢火蟲也不怕被蚊子叮。,否,"X, 烏色, 吊菜色",長褲,客語中，穿在身上的衣服、褲裙或鞋襪，要用「著」喔！快去檢查一下你的動詞吧！,夜間草叢蚊蟲非常多，穿短褲短裙雙腳會被叮得滿頭包，請選擇能完整保護雙腿的服裝！,螢火蟲害怕強光，穿著太亮或反射光的衣服會嚇跑牠們，建議融入夜色的保護色！,"賞螢,  暗, 熱",
5,著,1,，下雨天腳不會濕，方便又舒適。,否,"柑仔色, 黃色, 白色, 烏色, 紅色花圖案, 吊菜色",水靴筒,客語中，穿在身上的衣服、褲裙或鞋襪，要用「著」喔！快去檢查一下你的動詞吧！,路上到處都是積水和泥濘，普通的鞋子一下就濕透了，快換上防水防滑的雨天裝備吧！,,rain,
6,戴,1,，在泳池裡裡看著真亮眼，安全又生趣。,是,"柑仔色, 黃色, 白色, 紅色花圖案, 吊菜色",泅水帽,客語中，戴在頭上或頸部的配件（如帽仔,頸圍仔），要用「戴」喔！快去檢查一下你的動詞吧！,去泳池戲水，請換上玩水專用的服裝，並戴上保護頭部的配件喔！,在水中游泳，戴上顯眼明亮的色彩，能讓救生員隨時注意你的安全，試試鮮豔的色系吧！,"亮, water, 熱",head
7,著,1,，這樣溜直排輪就不怕跌倒。,否,"柑仔色, 黃色, 白色, 烏色, 紅色花圖案, 吊菜色",膝頭落仔,客語中，穿在身上的衣服、褲裙或鞋襪，要用「著」喔！快去檢查一下你的動詞吧！,溜直排輪速度很快，為了防止摔倒受傷，快戴上能保護關節的防護配件吧！,,運動,
8,著,2,，穿去參加就職面試，給人留下專業得體的第一印象。,否,"白色, 烏色","短衫, 裙, 長褲, 鞋",客語中，穿在身上的衣服、褲裙或鞋襪，要用「著」喔！快去檢查一下你的動詞吧！,給人印象不夠專業，請找找衣櫃裡最端莊得體、適合正式場合的衣物喔！,正式的面試場合，穿著過於耀眼奪目或花俏的色系會不夠莊重，試試沉穩得體的色系吧！,正式,
9,"著, 戴",2,，去參加社區大掃除，不怕髒污又舒適。,是,烏色,"短衫, 短褲, 長褲, 帽仔, 鞋, 水靴筒",客語中，戴在頭上或頸部的配件（如帽仔,頸圍仔），要用「戴」喔！快去檢查一下你的動詞吧！,勞動出汗又容易沾上髒污，換上方便活動的輕便服裝吧！,大掃除容易弄髒衣服，亮色或白色的衣物一下就髒了，建議選擇最耐髒的深色系！,打掃,
10,"著, 戴",2,，在街上隨心搭配任何顏色，展現出獨特且自信的個人風格。,是,"柑仔色, 黃色, 白色, 烏色, 紅色花圖案, 吊菜色","短衫, 短褲, 長褲, 裙, 羽絨衫, 膨線衫, 頸圍仔, 帽仔, 鞋",,但要記得避開不適合上街的特殊搭配喔！,,日常,
11,"著, 戴",2,，這是今天最合適的裝扮。,否,"柑仔色, 黃色, 白色, 紅色花圖案, 吊菜色","短衫, 短褲, 長褲, 裙, 帽仔, 鞋",,,,"日常, 熱",
12,"著, 戴",2,，像雪的顏色一樣，穿起來又暖和。,是,白色,"羽絨衫, 膨線衫, 頸圍仔",,寒風刺骨！要讓身體保持暖和，快找找衣櫃裡最防寒禦寒的厚重衣物吧！,試著搭配能融入雪景、潔白無瑕的顏色，看起來會更有冬季的浪漫氣氛喔！,冷,
13,著,2,，打籃球時讓手腳好活動，展現滿滿活力。,否,"柑仔色, 黃色, 白色, 烏色, 紅色花圖案, 吊菜色","短衫, 短褲, 鞋, 膝頭落仔",客語中，穿在身上的衣服、褲裙或鞋襪，要用「著」喔！快去檢查一下你的動詞吧！,,有許多劇烈跑跳動作，請換上方便伸展的運動服裝！,"運動, 熱",
