question_id,locale_code,language_code,dialect_code,field,text
1,zh-Hant,zh,,context_text,，走起路來特別輕鬆自在。
1,zh-Hant,zh,,錯誤提示 1：動詞,客語中，穿在身上的衣服、褲裙或鞋襪，要用「著」喔！快去檢查一下你的動詞吧！
1,zh-Hant,zh,,錯誤提示 2：衣物,想要走起路來輕鬆自在、腳步輕盈，最關鍵的是鞋喔！
2,zh-Hant,zh,,context_text,，體驗做擂茶和藍染，像是穿越到早時客庄。
2,zh-Hant,zh,,錯誤提示 1：動詞,客語中，穿在身上的衣服、褲裙或鞋襪，要用「著」喔！快去檢查一下你的動詞吧！
2,zh-Hant,zh,,錯誤提示 2：衣物,再想想看，最能代表客家傳統文化的衣物是哪一件呢？
2,zh-Hant,zh,,錯誤提示 3：顏色,這件客家傳統服裝的名字裡，已經有顏色的意思囉！不需再重複搭配顏色，直接穿著吧！
3,zh-Hant,zh,,context_text,，最適合用來擋太陽。
3,zh-Hant,zh,,錯誤提示 1：動詞,"客語中，戴在頭上或頸部的配件（如帽仔,頸圍仔），要用「戴」喔！快去檢查一下你的動詞吧！"
3,zh-Hant,zh,,錯誤提示 2：衣物,陽光太刺眼了！快找找衣櫃裡可以戴在頭頂、幫臉部遮擋陽光的防曬配件！
4,zh-Hant,zh,,context_text,，看螢火蟲也不怕被蚊子叮。
4,zh-Hant,zh,,錯誤提示 1：動詞,客語中，穿在身上的衣服、褲裙或鞋襪，要用「著」喔！快去檢查一下你的動詞吧！
4,zh-Hant,zh,,錯誤提示 2：衣物,夜間草叢蚊蟲非常多，穿短褲短裙雙腳會被叮得滿頭包，請選擇能完整保護雙腿的服裝！
4,zh-Hant,zh,,錯誤提示 3：顏色,螢火蟲害怕強光，穿著太亮或反射光的衣服會嚇跑牠們，建議融入夜色的保護色！
5,zh-Hant,zh,,context_text,，下雨天腳不會濕，方便又舒適。
5,zh-Hant,zh,,錯誤提示 1：動詞,客語中，穿在身上的衣服、褲裙或鞋襪，要用「著」喔！快去檢查一下你的動詞吧！
5,zh-Hant,zh,,錯誤提示 2：衣物,路上到處都是積水和泥濘，普通的鞋子一下就濕透了，快換上防水防滑的雨天裝備吧！
6,zh-Hant,zh,,context_text,，在泳池裡裡看著真亮眼，安全又生趣。
6,zh-Hant,zh,,錯誤提示 1：動詞,"客語中，戴在頭上或頸部的配件（如帽仔,頸圍仔），要用「戴」喔！快去檢查一下你的動詞吧！"
6,zh-Hant,zh,,錯誤提示 2：衣物,去泳池戲水，請換上玩水專用的服裝，並戴上保護頭部的配件喔！
6,zh-Hant,zh,,錯誤提示 3：顏色,在水中游泳，戴上顯眼明亮的色彩，能讓救生員隨時注意你的安全，試試鮮豔的色系吧！
7,zh-Hant,zh,,context_text,，這樣溜直排輪就不怕跌倒。
