規則類型,名稱/觸發條件,部位/英文,適用動詞/搭配,適合場合/天氣,禁用場合/黑名單,警告提示與評語文案
衣物,藍衫,body,著,"冷, 熱","運動, 賞螢, 水上",傳統藍染藍衫不適合劇烈運動、水上活動或夜晚賞螢（容易弄髒或不便活動）。
衣物,短衫,body,著,"日常, 運動, 正式, 熱",水上,透氣短袖，不適合水上活動（游泳需穿著泳衣）。
衣物,短褲,pants,著,"日常, 運動, 熱","賞螢, 水上",短褲無法防蚊蟲，不適合賞螢；游泳需穿著泳裝。
衣物,長褲,pants,著,"日常, 運動, 賞螢, 正式, 喜慶, 冷, 熱",水上,適合防蚊防蟲與防寒，但不適合水上活動。
衣物,裙,pants,著,"日常, 正式, 喜慶, 熱","冷, 運動, 賞螢, 水上",裙子在寒冷天氣會太冷，且不方便運動、賞螢防蚊或水上游泳。
衣物,羽絨衫,body,著,"日常, 冷","熱, 運動, 水上",太陽好大！大夏天穿厚重羽絨衫會汗流浹背！不適合運動。
衣物,膨線衫,body,著,"日常, 冷","熱, 運動, 水上",大夏天穿膨線衫毛衣太悶熱了！不適合運動或水上活動。
衣物,頸圍仔,neck,"戴, 著","日常, 冷","熱, 運動, 水上, 桐花, 杭菊",繞在脖子上的保暖毛織品，不適合炎熱、運動或溫和天氣。
衣物,帽仔,head,戴,"日常, 冷, 熱",水上,遮陽帽子，游泳時不適合配戴。
衣物,鞋,shoes,著,"日常, 運動, 賞螢, 正式, 喜慶, 冷, 熱",水上,一般休閒/運動包鞋，除水上活動外皆適用。
衣物,膝頭落仔,knee,著,"運動, 冷, 熱","日常, 賞螢, 正式, 喜慶, 客庄, 打掃, 桐花, 杭菊, 水上, 下雨",「膝頭落仔」為溜直排輪等運動防磨防撞護具，不適合在日常、拜年、正式或非運動場合穿戴。
衣物,水靴筒,shoes,著,"下雨, 打掃, 冷, 熱","日常, 運動, 賞螢, 正式, 喜慶, 客庄, 水上, 桐花, 杭菊",「水靴筒」為下雨天或大掃除專用，晴天日常、運動、拜年或正式場合禁用。
衣物,泅水帽,head,戴,"冷, 熱, 水上","日常, 運動, 賞螢, 正式, 喜慶, 客庄, 打掃, 桐花, 杭菊, 下雨",「泅水帽」為水上活動（游泳）專用，日常或非水上場合禁用。
衣物,泅水衫,body,著,"冷, 熱, 水上","日常, 運動, 賞螢, 正式, 喜慶, 客庄, 打掃, 桐花, 杭菊, 下雨",「泅水衫」為水上活動（游泳）專用，日常或非水上場合禁用。
顏色,柑仔色,color,,"活潑, 亮","賞螢, 打掃",亮橘色容易嚇跑螢火蟲，且打掃時容易弄髒。
顏色,黃色,color,,"杭菊, 活潑, 亮","賞螢, 打掃",亮黃色會嚇跑螢火蟲，且大掃除容易弄髒。
顏色,白色,color,,"桐花, 杭菊, 正式, 亮",打掃,白色在沾染水彩、泥巴或大掃除時極易變髒。
顏色,烏色,color,,"打掃, 正式, 暗","喜慶, 探親",過年拜年或喜慶場合穿全黑，在傳統上較為不妥。
顏色,吊菜色,color,,"日常, 活潑, 亮, 暗",,紫色（吊菜色）為日常百搭色，無特定禁用場合。
顏色,紅色花圖案,color,,"客庄, 亮",,客家花布紅，代表喜氣洋洋與客庄特色，無特定禁用。
特殊情境,冬衣夏穿,,,,,太陽好大！小主人汗流浹背！大夏天穿厚重的羽絨衫或膨線衫實在太悶熱了，快去幫模特兒換上舒適輕便的短衫吧！
特殊情境,夏衣冬穿,,,,,冷風吹來～小主人在瑟瑟發抖！你雖然寫對了客語單字，但是冬天穿短袖短褲會著涼喔！快幫模特兒換成防寒的羽絨衫或長褲吧！
特殊情境,藍衫重複染色,,,,,「藍衫」本身已具備藍色，不可再搭配其他顏色形容詞。
特殊情境,打籃球穿長褲,,,,,語意不協調：打籃球要求手腳靈巧好活動，搭配「長褲」可能限制劇烈跑跳。
特殊情境,非雨天/非打掃穿雨鞋,,,,,情境不協調：非下雨或打掃情境搭配雨鞋「水靴筒」不合語意。
特殊情境,非游泳穿泅水帽/衫,,,,,情境不協調：非水上活動情境搭配「泅水帽/泅水衫」不合語意。
特殊情境,涼爽天氣穿長褲或包鞋,,,,,語意不協調：此題敘事句強調「涼爽」，搭配「長褲」或包鞋「鞋」體感溫度較高，較不符合涼爽感。
